2021-06-21 12:06:49 INFO  HomePage :99 - Get company name:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //input[@id='Company']]
2021-06-21 12:06:175 INFO  HomePage :104 - Get password:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //input[@id='Password']]
2021-06-21 12:06:301 INFO  HomePage :109 - Get password confirm:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //input[@id='ConfirmPassword']]
2021-06-21 12:06:534 INFO  HomePage :123 - First name empty message:[[ChromeDriver: chrome on WINDOWS (4c11a57205c865012360ade71c857085)] -> xpath: //span[text()='First name is required.']]
2021-06-21 14:06:830 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 14:06:723 INFO  HomePage :20 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (d21b05e3e529665d0225d11085f3d702)] -> link text: Log in]
2021-06-21 14:06:754 INFO  HomePage :24 - Sign in Text:[[ChromeDriver: chrome on WINDOWS (d21b05e3e529665d0225d11085f3d702)] -> xpath: //h1[text()='Welcome, Please Sign In!']]
2021-06-21 14:06:504 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 14:06:120 INFO  HomePage :20 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (2e05bb54eeead33c5b6d3368aacd9d5d)] -> link text: Log in]
2021-06-21 14:06:163 INFO  HomePage :24 - Sign in Text:[[ChromeDriver: chrome on WINDOWS (2e05bb54eeead33c5b6d3368aacd9d5d)] -> xpath: //h1[text()='Welcome, Please Sign In!']]
2021-06-21 14:06:835 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 14:06:615 INFO  HomePage :20 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (384f3d1f72a5f7c2e8ca6598bd796ab8)] -> link text: Log in]
2021-06-21 14:06:671 INFO  HomePage :24 - Sign in Text:[[ChromeDriver: chrome on WINDOWS (384f3d1f72a5f7c2e8ca6598bd796ab8)] -> xpath: //h1[text()='Welcome, Please Sign In!']]
2021-06-21 17:06:193 INFO  BasePage :30 - Launching chrome Browser
2021-06-21 17:06:957 INFO  HomePage :26 - Clicking on Login Link:[[ChromeDriver: chrome on WINDOWS (3e042b3d084cef691e3bb860f8cdd66c)] -> link text: Log in]
2021-06-21 17:06:987 INFO  HomePage :35 - Get Email id:[[ChromeDriver: chrome on WINDOWS (3e042b3d084cef691e3bb860f8cdd66c)] -> xpath: //input[@id='Email']]
2021-06-21 17:06:181 INFO  HomePage :41 - Clicking on Login button:[[ChromeDriver: chrome on WINDOWS (3e042b3d084cef691e3bb860f8cdd66c)] -> xpath: //button[@class='button-1 login-button']]
